,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
States,Indicators,Units,2004,2005,2006,2007,2008,2009,2010
Abuja,Unemployment Rates by State,,5.9,6.5,16.4,47.8,8.7,21.5,11.8
,"Application into nigerian universities, Male",,,480,432,674,990,1081,
,"Application into nigerian universities, Female",,,215,214,286,450,597,
,"Percentage of adult literacy in any language, Total",,,,,,67.1,,
,"Percentage of youth literacy in any language, Total",,,,,,81.2,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,67.1,70,67.1,64.4,67
,"Household Size, Average, Total",,,,4.3,4.4,4.9,5.8,4.5
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,39,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,55.6,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,1.3,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.8,
Abia,Unemployment Rates by State,,9.7,7.9,13.5,25.1,11.9,14.5,22.8
,"Application into nigerian universities, Male",,,24258,21612,22899,22211,25890,
,"Application into nigerian universities, Female",,,23827,21330,22741,22323,26613,
,"Percentage of adult literacy in any language, Total",,,,,,87.4,,
,"Percentage of youth literacy in any language, Total",,,,,,96.5,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,77.7,89.3,87.4,90.3,85.1
,"Household Size, Average, Total",,,,3.6,3.2,3.8,5.2,3.7
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,47.2,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,30.3,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,4.9,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,1.8,
Adamawa,Unemployment Rates by State,,16.7,21.4,17.9,21.5,13.5,29.4,24.6
,"Application into nigerian universities, Male",,,3933,4154,5423,5886,7478,
,"Application into nigerian universities, Female",,,2067,2337,2972,3279,4076,
,"Percentage of adult literacy in any language, Total",,,,,,58.4,,
,"Percentage of youth literacy in any language, Total",,,,,,72.6,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,63.1,56.5,58.4,58.6,57.7
,"Household Size, Average, Total",,,,4.8,5.2,6,6.2,5
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,46.6,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,39.2,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,3.5,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.6,
Akwa Ibom,Unemployment Rates by State,,14.4,14.4,15.3,18,11.1,34.1,27.7
,"Application into nigerian universities, Male",,,25218,21991,25036,22532,28081,
,"Application into nigerian universities, Female",,,21578,19154,22935,21478,26692,
,"Percentage of adult literacy in any language, Total",,,,,,81.7,,
,"Percentage of youth literacy in any language, Total",,,,,,91.2,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,84.5,84.7,81.7,88.7,89.5
,"Household Size, Average, Total",,,,4.1,4.4,5.1,5.5,4.2
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,36.4,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,43.3,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,4.5,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,1.8,
Anambra,Unemployment Rates by State,,9.5,9.8,10.8,14.9,7.3,16.8,10.8
,"Application into nigerian universities, Male",,,29572,27513,29698,30156,34439,
,"Application into nigerian universities, Female",,,36399,33160,35001,35603,41822,
,"Percentage of adult literacy in any language, Total",,,,,,78.2,,
,"Percentage of youth literacy in any language, Total",,,,,,95.7,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,78.1,86.6,78.2,90.1,82.1
,"Household Size, Average, Total",,,,4.3,4.4,4.5,5.4,3.9
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,37.5,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,45,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,5.1,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,2.2,
Bauchi,Unemployment Rates by State,,25.1,29.7,23.9,20.5,6.9,37.2,27
,"Application into nigerian universities, Male",,,2630,3257,4452,5405,6902,
,"Application into nigerian universities, Female",,,881,1026,1294,1495,2005,
,"Percentage of adult literacy in any language, Total",,,,,,36.6,,
,"Percentage of youth literacy in any language, Total",,,,,,48.9,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,31.1,62.4,36.6,62.4,39.8
,"Household Size, Average, Total",,,,5.8,7.9,6.8,7.1,6
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,42.3,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,41.9,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,8.1,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.6,
Bayelsa,Unemployment Rates by State,,14,20.9,16,21.9,67.4,41.5,27.4
,"Application into nigerian universities, Male",,,10878,9016,10001,9702,11717,
,"Application into nigerian universities, Female",,,6870,6152,6902,6931,8521,
,"Percentage of adult literacy in any language, Total",,,,,,75.1,,
,"Percentage of youth literacy in any language, Total",,,,,,86.9,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,81,81.8,75.1,71.2,74.9
,"Household Size, Average, Total",,,,4.3,3.3,4.9,5.4,3.7
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,35,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,28.6,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,1.7,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,2.1,
Benue,Unemployment Rates by State,,11.7,18.6,10.8,7.9,7.8,8.5,6
,"Application into nigerian universities, Male",,,15985,15033,18478,19582,26340,
,"Application into nigerian universities, Female",,,7925,7746,10086,11212,15131,
,"Percentage of adult literacy in any language, Total",,,,,,66.5,,
,"Percentage of youth literacy in any language, Total",,,,,,82.8,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,64.6,75.5,66.5,69.3,67.6
,"Household Size, Average, Total",,,,5.2,5.1,6.1,6.2,5.3
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,50.4,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,32.7,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,3.8,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.5,
Borno,Unemployment Rates by State,,3.6,6.3,5.8,12.5,11.8,27.7,26.7
,"Application into nigerian universities, Male",,,3387,3554,3710,4104,5035,
,"Application into nigerian universities, Female",,,1597,1965,2000,2297,2776,
,"Percentage of adult literacy in any language, Total",,,,,,37,,
,"Percentage of youth literacy in any language, Total",,,,,,53,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,45.3,51.1,37,72.7,70.9
,"Household Size, Average, Total",,,,4.6,5.5,5.3,6.3,4.8
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,41.7,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,51.3,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,2.4,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.7,
Cross River,Unemployment Rates by State,,11.6,11.1,16.9,32.8,18.9,14.3,27.9
,"Application into nigerian universities, Male",,,11877,9673,11202,11395,15036,
,"Application into nigerian universities, Female",,,7608,6796,8335,8744,11546,
,"Percentage of adult literacy in any language, Total",,,,,,75.9,,
,"Percentage of youth literacy in any language, Total",,,,,,92.9,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,75.6,77.5,75.9,77.3,70.4
,"Household Size, Average, Total",,,,4.5,3.8,4.1,6,3.9
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,52.7,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,26,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,3.7,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.7,
Delta,Unemployment Rates by State,,10.8,4.5,13.8,22.9,11.5,18.4,27.9
,"Application into nigerian universities, Male",,,40666,32294,35114,36163,41337,
,"Application into nigerian universities, Female",,,30123,24531,26470,28327,33543,
,"Percentage of adult literacy in any language, Total",,,,,,85.4,,
,"Percentage of youth literacy in any language, Total",,,,,,94.7,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,70,81,85.4,80.4,79.3
,"Household Size, Average, Total",,,,3.2,4.1,3.6,5,3.5
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,43.5,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,36.2,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,6,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.7,
Ebonyi,Unemployment Rates by State,,11.9,7,10.9,7.9,5.1,12,25.1
,"Application into nigerian universities, Male",,,10981,10137,10063,10707,13188,
,"Application into nigerian universities, Female",,,6607,6356,6573,7125,9192,
,"Percentage of adult literacy in any language, Total",,,,,,73.1,,
,"Percentage of youth literacy in any language, Total",,,,,,94.7,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,64.3,66.3,73.1,72.7,62.5
,"Household Size, Average, Total",,,,4.1,5,5.3,5.8,5.3
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,51.4,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,15.2,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,5.2,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.5,
Edo,Unemployment Rates by State,,6.5,9.9,8.6,14.8,15.6,12.2,27.9
,"Application into nigerian universities, Male",,,32075,29972,32187,32189,35815,
,"Application into nigerian universities, Female",,,22791,21137,22721,23881,27697,
,"Percentage of adult literacy in any language, Total",,,,,,91.1,,
,"Percentage of youth literacy in any language, Total",,,,,,98.4,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,78.5,86.7,91.1,90.1,71.8
,"Household Size, Average, Total",,,,3.8,3.7,3.8,5.5,3.9
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,29.8,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,59.1,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,6.1,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,1.1,
Ekiti,Unemployment Rates by State,,7.9,7.5,8.7,11.4,11.5,20.6,28
,"Application into nigerian universities, Male",,,17190,14489,17479,18265,20290,
,"Application into nigerian universities, Female",,,10359,9067,11334,13031,14913,
,"Percentage of adult literacy in any language, Total",,,,,,77.5,,
,"Percentage of youth literacy in any language, Total",,,,,,96.2,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,67.7,72.6,77.5,77,79.5
,"Household Size, Average, Total",,,,3.2,3,3.2,4.7,3.3
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,37.6,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,51.1,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,2.7,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.6,
Enugu,Unemployment Rates by State,,22,27.4,20,14.1,10.5,14.9,28
,"Application into nigerian universities, Male",,,22586,20808,22159,22829,27770,
,"Application into nigerian universities, Female",,,22044,19680,20945,21670,26266,
,"Percentage of adult literacy in any language, Total",,,,,,68.1,,
,"Percentage of youth literacy in any language, Total",,,,,,92.7,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,71.8,79.4,68.1,80.6,73.2
,"Household Size, Average, Total",,,,4,4.1,4,5.1,4.1
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,36.2,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,42.2,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,7.7,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.8,
Gombe,Unemployment Rates by State,,15.2,22.8,15.6,16.9,7.6,32.1,27.2
,"Application into nigerian universities, Male",,,2530,2805,3350,3842,5151,
,"Application into nigerian universities, Female",,,1051,1271,1504,1810,2187,
,"Percentage of adult literacy in any language, Total",,,,,,75.1,,
,"Percentage of youth literacy in any language, Total",,,,,,79.2,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,80.1,74.7,75.1,63.7,54
,"Household Size, Average, Total",,,,5.9,6,5.9,7,5.1
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,42.6,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,46.3,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,2.9,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.8,
Imo,Unemployment Rates by State,,19.3,16.5,21.5,28.3,17.4,20.8,28.1
,"Application into nigerian universities, Male",,,48180,43584,44641,43900,48741,
,"Application into nigerian universities, Female",,,51710,46842,48424,48121,54632,
,"Percentage of adult literacy in any language, Total",,,,,,89.9,,
,"Percentage of youth literacy in any language, Total",,,,,,99.2,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,78.9,82.7,89.9,84,74.3
,"Household Size, Average, Total",,,,4.3,3.8,4.5,5.6,3.7
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,46.7,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,30.4,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,1.8,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.8,
Jigawa,Unemployment Rates by State,,19.8,19.1,21.6,27,5.9,26.5,14.3
,"Application into nigerian universities, Male",,,1350,1658,2081,2884,5479,
,"Application into nigerian universities, Female",,,392,456,460,847,1114,
,"Percentage of adult literacy in any language, Total",,,,,,47.9,,
,"Percentage of youth literacy in any language, Total",,,,,,58.6,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,41.2,60.9,47.9,66.9,53.6
,"Household Size, Average, Total",,,,5.9,6,6.5,6.8,6.6
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,30.7,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,56,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,7.3,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,1,
Kaduna,Unemployment Rates by State,,15.9,12.1,14.1,8.7,12.7,11.6,12.4
,"Application into nigerian universities, Male",,,7371,6462,9780,10620,14400,
,"Application into nigerian universities, Female",,,3650,3555,5230,6288,8523,
,"Percentage of adult literacy in any language, Total",,,,,,55.4,,
