,,,,,,,,,
,"Percentage of youth literacy in any language, Total",,,,,,65,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,56.4,61.7,55.4,58.7,58.1
,"Household Size, Average, Total",,,,6.1,5.6,10.4,6.9,5.3
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,43.5,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,38.2,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,9,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.5,
Kano,Unemployment Rates by State,,22.5,19.1,19.4,10.1,5.8,27.6,14.7
,"Application into nigerian universities, Male",,,7670,7259,10070,9896,13677,
,"Application into nigerian universities, Female",,,3029,2831,3643,3808,4872,
,"Percentage of adult literacy in any language, Total",,,,,,68.3,,
,"Percentage of youth literacy in any language, Total",,,,,,73.5,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,55.6,79.5,68.3,61,37.4
,"Household Size, Average, Total",,,,6.4,6.6,6.5,6.6,5.7
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,41.9,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,40.8,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,5.2,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.6,
Katsina,Unemployment Rates by State,,22.1,23.8,19.3,10.9,11.8,37.3,11
,"Application into nigerian universities, Male",,,2604,2605,4364,5191,8333,
,"Application into nigerian universities, Female",,,1010,1106,1411,1759,2505,
,"Percentage of adult literacy in any language, Total",,,,,,29.6,,
,"Percentage of youth literacy in any language, Total",,,,,,50.3,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,23.1,25.9,29.6,37.6,38
,"Household Size, Average, Total",,,,5.8,5.7,6,6.5,5.6
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,40.8,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,46.2,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,4.5,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.7,
Kebbi,Unemployment Rates by State,,19.9,19.9,15.2,1.3,16.5,12,10.7
,"Application into nigerian universities, Male",,,2469,2669,3748,4456,4550,
,"Application into nigerian universities, Female",,,655,732,966,1046,1206,
,"Percentage of adult literacy in any language, Total",,,,,,55.8,,
,"Percentage of youth literacy in any language, Total",,,,,,65.1,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,19.6,24.9,55.8,56.2,49.2
,"Household Size, Average, Total",,,,5.9,5.7,10.9,5.5,5.5
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,39.6,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,46.3,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,5.3,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,2.2,
Kogi,Unemployment Rates by State,,11.8,8.7,12.5,14.6,16.4,19,9.5
,"Application into nigerian universities, Male",,,22935,18222,22151,23140,27297,
,"Application into nigerian universities, Female",,,12012,10179,12756,14255,17197,
,"Percentage of adult literacy in any language, Total",,,,,,59,,
,"Percentage of youth literacy in any language, Total",,,,,,89.6,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,64.4,64.8,59,69.4,62.8
,"Household Size, Average, Total",,,,3.6,4,3.9,5.4,3.1
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,32.2,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,58.7,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,2.9,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.4,
Kwara,Unemployment Rates by State,,4.2,2.9,7.5,17.7,10.2,11,2.7
,"Application into nigerian universities, Male",,,16448,12744,16618,18740,18689,
,"Application into nigerian universities, Female",,,9289,7703,10391,12306,13008,
,"Percentage of adult literacy in any language, Total",,,,,,54.9,,
,"Percentage of youth literacy in any language, Total",,,,,,85.8,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,57,53.7,54.9,52.3,48.1
,"Household Size, Average, Total",,,,4.1,4,4.2,5.4,3.7
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,36.6,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,57,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,2.4,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.2,
Lagos,Unemployment Rates by State,,16.1,6.5,15.5,13.7,7.6,19.5,27.6
,"Application into nigerian universities, Male",,,18474,13800,13138,13293,15462,
,"Application into nigerian universities, Female",,,13761,10575,10480,11001,12903,
,"Percentage of adult literacy in any language, Total",,,,,,95,,
,"Percentage of youth literacy in any language, Total",,,,,,99,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,90.1,91.1,95,91.3,94.1
,"Household Size, Average, Total",,,,4.2,3.7,3.8,4.9,3.8
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,20.5,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,66.2,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,8.3,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.7,
Nassarawa,Unemployment Rates by State,,6.9,8.7,8.1,11.8,17,10.1,3.4
,"Application into nigerian universities, Male",,,4483,3841,5752,9315,11009,
,"Application into nigerian universities, Female",,,1602,1538,2209,4030,4661,
,"Percentage of adult literacy in any language, Total",,,,,,59.4,,
,"Percentage of youth literacy in any language, Total",,,,,,78.1,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,59.1,56.7,59.4,70.4,52.9
,"Household Size, Average, Total",,,,5.6,3.2,5.7,6.4,5.5
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,26.9,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,60,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,5.9,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.2,
Niger,Unemployment Rates by State,,3.5,0.2,3.6,4.2,3.9,28,11.7
,"Application into nigerian universities, Male",,,2935,3083,4523,5476,7016,
,"Application into nigerian universities, Female",,,1323,1439,1983,2504,3157,
,"Percentage of adult literacy in any language, Total",,,,,,46.4,,
,"Percentage of youth literacy in any language, Total",,,,,,65.4,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,38.4,41.3,46.4,50.6,60.1
,"Household Size, Average, Total",,,,4.9,5.6,4.8,5.8,5.9
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,25.1,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,59.6,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,7.7,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.7,
Ogun,Unemployment Rates by State,,1.9,2.5,2.3,3.6,5.8,8.5,27.8
,"Application into nigerian universities, Male",,,28798,23159,26229,26260,30220,
,"Application into nigerian universities, Female",,,22328,18269,21001,21740,26269,
,"Percentage of adult literacy in any language, Total",,,,,,73.8,,
,"Percentage of youth literacy in any language, Total",,,,,,91.1,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,63,73.4,73.8,73.4,78.8
,"Household Size, Average, Total",,,,2.6,3,3.2,4.4,3.3
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,21.8,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,69.2,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,5.2,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,1,
Ondo,Unemployment Rates by State,,6.8,6.2,6.7,6.7,6.3,14.9,28
,"Application into nigerian universities, Male",,,25148,20396,22857,25753,29951,
,"Application into nigerian universities, Female",,,15597,13080,14993,18066,21860,
,"Percentage of adult literacy in any language, Total",,,,,,81.4,,
,"Percentage of youth literacy in any language, Total",,,,,,97,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,76.4,83.9,81.4,82.8,79
,"Household Size, Average, Total",,,,3.2,3.6,3.7,4.9,3.1
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,46.4,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,44.2,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,3.4,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0,
Osun,Unemployment Rates by State,,1.2,1.9,2.7,7.2,6.5,12.6,27.6
,"Application into nigerian universities, Male",,,24854,21834,26853,26643,32284,
,"Application into nigerian universities, Female",,,15494,14304,18430,19494,23885,
,"Percentage of adult literacy in any language, Total",,,,,,73.1,,
,"Percentage of youth literacy in any language, Total",,,,,,97.1,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,68.6,75.7,73.1,78.9,82.5
,"Household Size, Average, Total",,,,3.6,3.2,3.9,5.1,3.4
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,23.6,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,65.3,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,7,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,2.3,
Oyo,Unemployment Rates by State,,3.1,5.3,4.3,8.1,8.7,14.9,27.7
,"Application into nigerian universities, Male",,,22432,19211,21496,23264,27505,
,"Application into nigerian universities, Female",,,13579,12400,14473,16414,20845,
,"Percentage of adult literacy in any language, Total",,,,,,71,,
,"Percentage of youth literacy in any language, Total",,,,,,88.4,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,76.2,70.1,71,82,75.6
,"Household Size, Average, Total",,,,4.3,3.6,4,5.1,3.9
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,38.3,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,49.5,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,3.9,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.6,
Plateau,Unemployment Rates by State,,1.6,2.8,2.9,6.8,4.7,7.1,10.4
,"Application into nigerian universities, Male",,,3330,2563,3640,5417,7262,
,"Application into nigerian universities, Female",,,1860,1657,2326,3407,4785,
,"Percentage of adult literacy in any language, Total",,,,,,71.2,,
,"Percentage of youth literacy in any language, Total",,,,,,82.7,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,61.1,71.3,71.2,61.7,55.1
,"Household Size, Average, Total",,,,5.4,5,5.7,6.6,5.5
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,31.1,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,55.9,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,4,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,1.4,
Rivers,Unemployment Rates by State,,11.2,7,25,66.4,12.1,27.9,27.8
,"Application into nigerian universities, Male",,,24196,19718,20755,19977,24550,
,"Application into nigerian universities, Female",,,18964,15947,16745,16092,20432,
,"Percentage of adult literacy in any language, Total",,,,,,86.8,,
,"Percentage of youth literacy in any language, Total",,,,,,94.7,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,83.7,89.6,86.8,89.3,80.3
,"Household Size, Average, Total",,,,4.9,3.7,4.4,5.6,4.5
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,45.9,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,33.9,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,6.2,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,1.9,
Sokoto,Unemployment Rates by State,,4.5,4.1,6.4,12.3,5.9,22.4,15.9
,"Application into nigerian universities, Male",,,2516,2346,3180,3588,5544,
,"Application into nigerian universities, Female",,,670,611,747,930,1153,
,"Percentage of adult literacy in any language, Total",,,,,,48.6,,
,"Percentage of youth literacy in any language, Total",,,,,,49.2,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,33.2,42.2,48.6,73,73.4
,"Household Size, Average, Total",,,,5.4,4.6,5,6.2,5.6
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,23.3,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,59.4,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,7.5,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,1.1,
Taraba,Unemployment Rates by State,,13.6,3.4,14,15.2,19.9,26.8,24.7
,"Application into nigerian universities, Male",,,2488,2339,2661,3666,4589,
,"Application into nigerian universities, Female",,,920,941,1172,1566,2039,
,"Percentage of adult literacy in any language, Total",,,,,,56.7,,
,"Percentage of youth literacy in any language, Total",,,,,,76.8,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,50.6,44.6,56.7,60.9,52.2
,"Household Size, Average, Total",,,,5.3,5.4,5.3,6.4,4
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,54.3,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,29.8,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,5.4,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.4,
Yobe,Unemployment Rates by State,,10.1,8,13.6,24.4,12.8,27.3,26.2
,"Application into nigerian universities, Male",,,1998,1157,1946,2059,2317,
,"Application into nigerian universities, Female",,,548,460,570,664,728,
,"Percentage of adult literacy in any language, Total",,,,,,39.6,,
,"Percentage of youth literacy in any language, Total",,,,,,52.1,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,30.6,19.4,39.6,31.3,58.3
,"Household Size, Average, Total",,,,5.7,5.7,5.5,6.6,5.1
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,35.4,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,49.7,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,3.3,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.5,
Zamfara,Unemployment Rates by State,,61.3,51.1,50.8,19.1,16.4,13.3,14.5
,"Application into nigerian universities, Male",,,2144,1993,2471,2910,3087,
,"Application into nigerian universities, Female",,,366,378,433,644,604,
,"Percentage of adult literacy in any language, Total",,,,,,70.7,,
,"Percentage of youth literacy in any language, Total",,,,,,72.2,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,17.5,30.7,70.7,82,54.7
,"Household Size, Average, Total",,,,5.2,5.7,5.5,5.5,4.9
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,37.2,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,43.6,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,2.8,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,1,